Stock Name,Ticker,Price,todayHigh,todayLow,52WeekHigh,Volume,ROC_Today,"ROC (5m, 12p)",Diff of ROC,actual_high,actual_low,future_high,future_low,buy_order(%),sell_order(%),bid,ask,bid_price_1,bid_qty_1,ask_price_1,ask_qty_1,bid_price_2,bid_qty_2,ask_price_2,ask_qty_2,bid_price_3,bid_qty_3,ask_price_3,ask_qty_3,bid_price_4,bid_qty_4,ask_price_4,ask_qty_4,bid_price_5,bid_qty_5,ask_price_5,ask_qty_5,is_high,is_low,gain,reverse_gain,date,slot
PDS Ltd,PDSL,302.4,305.75,274.2999877929688,443.95,488428,9.12,0.55,8.57,307.6499938964844,274.29998779296875,307.6499938964844,292.95001220703125,47.3,52.7,64563.0,71939.0,301.8,1.0,302.25,2.0,301.75,181.0,302.3,44.0,301.7,83.0,302.35,162.0,301.65,1.0,302.4,244.0,301.55,48.0,302.45,9.0,1,1,5.25,9.45,2026-05-18,slot_6
Sanstar Ltd,SANSTAR,109.23,113.0,99.2699966430664,113.0,5541061,8.4,-1.46,9.87,113.0,99.2699966430664,111.11000061035156,107.94999694824219,26.93,73.07,190675.0,517481.0,108.5,603.0,108.61,247.0,108.4,143.0,108.62,494.0,108.37,60.0,108.63,62.0,108.36,40.0,108.64,489.0,108.33,230.0,108.66,230.0,1,1,1.88,1.28,2026-05-18,slot_6
Mukand Limited,MUKANDLTD,149.38,154.25,137.5,162.0,3174169,8.06,-2.82,10.89,154.25,137.5,149.8699951171875,147.0,36.4,63.6,183944.0,321407.0,148.36,288.0,148.66,64.0,148.3,253.0,148.67,326.0,148.27,98.0,148.68,31.0,148.26,15.0,148.71,512.0,148.25,654.0,148.72,458.0,1,1,0.49,2.38,2026-05-18,slot_6
The Great Eastern Shipping Company Limited,GESHIP,1688.8,1720.0,1533.900024414062,1720.0,15977034,6.83,0.43,6.4,1730.0,1533.9000244140625,1727.5,1660.9000244140625,75.62,24.38,970016.0,312745.0,1690.1,21.0,1691.0,12.0,1691.1,128.0,1689.7,18.0,1891.2,76.0,1689.6,9.0,1691.3,477.0,1689.5,181.0,,,,,1,1,38.7,27.9,2026-05-18,slot_6
Wheels India Limited,WHEELS,1580.0,1657.699951171875,1477.199951171875,1657.7,2659953,4.75,-0.65,5.41,1657.699951171875,1477.199951171875,1600.0,1576.699951171875,73.08,26.92,149410.0,55033.0,1580.5,1.0,1582.1,31.0,1580.4,2.0,1582.2,14.0,1579.9,2.0,1582.7,25.0,1579.8,25.0,1582.8,3.0,1579.7,6.0,1582.9,9.0,1,1,20.0,3.3,2026-05-18,slot_6
Black Box Ltd,BBOX,932.5,966.0,840.0999755859375,966.0,2840362,4.58,-2.52,7.1,966.0,840.0999755859375,943.2000122070312,926.25,48.4,51.6,50355.0,53694.0,929.9,102.0,930.5,18.0,929.6,10.0,930.7,81.0,929.35,30.0,930.8,14.0,929.15,1.0,930.85,36.0,,,,,1,1,10.7,6.25,2026-05-18,slot_6
Gland Pharma Ltd,GLAND,2134.8,2177.800048828125,2034.0,2177.8,5438193,3.88,1.08,2.81,2207.0,2034.0,2195.10009765625,2119.89990234375,74.77,25.23,505724.0,170623.0,2157.4,49.0,2158.8,12.0,2157.3,15.0,2158.9,11.0,2157.2,57.0,2159.0,2.0,2157.1,7.0,2159.1,27.0,2157.0,858.0,2159.2,36.0,1,1,60.3,14.9,2026-05-18,slot_6
Geecee Ventures Limited,GEECEE,336.25,360.75,307.8500061035156,448.0,288500,3.77,-2.1,5.86,360.75,307.8500061035156,338.95001220703125,327.20001220703125,78.4,21.6,27778.0,7655.0,336.0,22.0,33795.0,32.0,335.55,1.0,338.0,37.0,335.5,1.0,338.35,8.0,335.45,1.0,338.4,8.0,335.35,8.0,338.45,8.0,1,1,2.7,9.05,2026-05-18,slot_6
Td Power Systems Limited,TDPOWERSYS,1327.8,1361.0,1255.099975585938,1361.0,3633918,3.48,-1.83,5.31,1361.0,1255.0999755859375,1337.5,1317.0999755859375,39.7,60.3,57108.0,86730.0,1322.0,765.0,1322.6,64.0,1320.9,867.0,1322.8,92.0,1320.8,12.0,1322.9,53.0,1320.6,41.0,1323.0,150.0,,,,,1,1,9.7,10.7,2026-05-18,slot_6
Arvind Limited,ARVIND,475.6,483.0,445.0,483.0,5397098,3.32,0.54,2.78,483.0,445.0,477.70001220703125,468.45001220703125,43.79,56.21,117917.0,151371.0,476.7,77.0,47695.0,49.0,476.65,21.0,477.0,352.0,476.6,168.0,477.05,30.0,476.55,73.0,47710.0,91.0,476.45,222.0,477.15,112.0,1,1,2.1,7.15,2026-05-18,slot_6
BSE (Bombay stock exchange) Ltd,BSE,4100.8,4104.0,3940.0,4104.0,3927964,3.17,0.49,2.68,4134.0,3940.0,4133.2998046875,4095.0,,,,,,,,,,,,,,,,,,,,,,,,,1,1,32.5,5.8,2026-05-18,slot_6
Shipping Corporation Of India Limited,SCI,343.9,351.7000122070312,325.25,368.75,22374710,3.04,-0.01,3.06,351.70001220703125,325.25,346.5,341.79998779296875,20.19,79.81,430587.0,1702091.0,342.55,343.0,342.6,3.0,342.65,111.0,342.45,40.0,,,,,,,,,,,,,1,1,2.6,2.1,2026-05-18,slot_6
Senores Pharmaceuticals Ltd,SENORES,1121.35,1194.400024414062,1048.0,1194.4,3558569,2.99,-2.55,5.54,1194.4000244140625,1048.0,1143.0,1105.300048828125,34.12,65.88,55216.0,106607.0,1107.65,3.0,1108.65,95.0,1107.5,54.0,1108.7,25.0,1107.25,10.0,1108.8,59.0,1107.2,4.0,1108.85,268.0,,,,,1,1,21.65,16.05,2026-05-18,slot_6
Gandhar Oil Refinery (India) Ltd,GANDHAR,154.98,156.4900054931641,147.5,184.42,398644,2.18,0.42,1.76,160.16000366210938,147.5,160.0800018310547,154.5,52.42,47.58,229957.0,208754.0,154.45,12.0,154.51,16.0,154.34,41.0,15452.0,7.0,154.22,19.0,154.53,14.0,154.21,1.0,184.57,15.0,154.15,33.0,154.58,500.0,1,1,5.1,0.48,2026-05-18,slot_6
Sakar Healthcare Ltd,SAKAR,773.55,789.1500244140625,731.7000122070312,789.15,1119825,1.75,5.54,-3.79,794.0,731.7000122070312,791.7999877929688,763.8499755859375,56.2,43.8,72331.0,56370.0,785.0,51.0,785.7,10.0,784.95,6.0,785.75,50.0,784.9,128.0,786.0,82.0,784.85,53.0,786.05,31.0,784.75,15.0,786.1,146.0,1,1,18.25,9.7,2026-05-18,slot_6
Acutaas Chemicals Ltd,ACUTAAS,2797.1,2818.699951171875,2714.5,2849.9,277682,1.68,-0.57,2.25,2818.699951171875,2714.5,2809.699951171875,2785.10009765625,40.31,59.69,23695.0,35093.0,2794.1,24.0,2795.7,12.0,2794.0,45.0,2795.8,16.0,2793.9,7.0,2795.9,6.0,2793.8,8.0,2796.0,12.0,2793.6,17.0,2796.1,5.0,1,1,12.6,12.0,2026-05-18,slot_6
Sun Pharmaceuticals Industries Limited,SUNPHARMA,1900.3,1902.900024414062,1865.0,1902.9,2319679,1.66,0.19,1.47,1911.0,1865.0,1911.0,1897.4000244140625,,,,,,,,,,,,,,,,,,,,,,,,,1,1,10.7,2.9,2026-05-18,slot_6
Aster DM Healthcare Ltd,ASTERDM,756.65,761.5999755859375,733.6500244140625,770.0,390682,1.35,-0.34,1.69,761.5999755859375,733.6500244140625,757.3499755859375,753.1500244140625,34.23,65.77,51422.0,98798.0,754.95,33.0,756.15,1.0,75490.0,5.0,755.4,68.0,754.85,33.0,755.45,67.0,754.7,22.0,758.55,28.0,,,,,1,1,0.7,3.5,2026-05-18,slot_6
Jsw Steel Limited,JSWSTEEL,1298.0,1302.0,1258.300048828125,1314.0,2457132,1.32,0.37,0.95,1302.0,1258.300048828125,1297.5,1287.800048828125,45.2,54.8,202754.0,245842.0,1295.2,8.0,1296.3,9.0,1295.1,99.0,1295.4,368.0,1295.0,115.0,1295.7,28.0,1294.9,184.0,1295.9,28.0,1294.8,496.0,1296.0,261.0,0,1,-0.5,10.2,2026-05-18,slot_6
Nrb Bearing Limited,NRBBEARING,352.6,354.7000122070312,340.0,356.95,786504,1.26,0.61,0.65,358.0,340.0,358.0,351.1000061035156,30.49,69.51,89094.0,203147.0,351.8,109.0,352.0,248.0,351.75,22.0,352.1,2.0,351.7,1.0,352.2,87.0,351.65,2.0,352.25,48.0,351.6,255.0,352.35,67.0,1,1,5.4,1.5,2026-05-18,slot_6
Ipca Laboratories Limited,IPCALAB,1640.6,1658.0,1585.0,1658.0,524600,1.25,-1.17,2.42,1658.0,1585.0,1651.0,1633.0999755859375,33.68,66.32,18370.0,36178.0,1636.5,69.0,1637.3,10.0,1636.4,7.0,1637.4,12.0,1636.3,7.0,1837.6,13.0,1636.2,26.0,1637.8,11.0,1636.1,8.0,163790.0,14.0,1,1,10.4,7.5,2026-05-18,slot_6
Solar Industries India Limited,SOLARINDS,18023.0,18089.0,17227.0,18089.0,584265,1.12,-0.08,1.21,18089.0,17227.0,18075.0,17953.0,54.61,45.39,27175.0,22588.0,18005.0,23.0,18007.0,1.0,18004.0,19.0,18011.0,1.0,18003.0,24.0,18012.0,4.0,18002.0,27.0,18013.0,15.0,18001.0,15.0,18014.0,8.0,1,1,52.0,70.0,2026-05-18,slot_6
